"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 04 10:48:01 EEST 2022","Thu Aug 04 10:48:06 EEST 2022","4996","","Searching from different pages","","Searching from different pages","Searching from topics page","Searching from topics page",""
"passed","Thu Aug 04 10:49:31 EEST 2022","Thu Aug 04 10:49:37 EEST 2022","5714","","User login cases","","User login cases","Send password reset request without captcha confirmation in the password reset page","Send password reset request without captcha confirmation in the password reset page",""
"passed","Thu Aug 04 10:49:11 EEST 2022","Thu Aug 04 10:49:14 EEST 2022","3506","","User login cases","","User login cases","Go to registration page by clicking lower button","Go to registration page by clicking lower button",""
"passed","Thu Aug 04 10:48:02 EEST 2022","Thu Aug 04 10:48:10 EEST 2022","7838","","Dropdowns should be displayed on mouse hovering","","Dropdowns should be displayed on mouse hovering","Producn dropdown menu should be displayed on mouse hovering","Producn dropdown menu should be displayed on mouse hovering",""
"passed","Thu Aug 04 10:48:27 EEST 2022","Thu Aug 04 10:49:06 EEST 2022","38553","","Dropdowns should be displayed on mouse hovering","","Dropdowns should be displayed on mouse hovering","Pricing dropdown menu should be displayed on mouse hovering","Pricing dropdown menu should be displayed on mouse hovering",""
"passed","Thu Aug 04 10:47:51 EEST 2022","Thu Aug 04 10:47:57 EEST 2022","6137","","Log elements text","","Log elements text","Print elements labels in console in open position part after opening the about careers page from main page","Print elements labels in console in open position part after opening the about careers page from main page",""
"broken","Thu Aug 04 10:48:10 EEST 2022","Thu Aug 04 10:48:27 EEST 2022","16961","","Dropdowns should be displayed on mouse hovering","","Dropdowns should be displayed on mouse hovering","Explore dropdown menu should be displayed on mouse hovering","Explore dropdown menu should be displayed on mouse hovering",""
"failed","Thu Aug 04 10:49:14 EEST 2022","Thu Aug 04 10:49:31 EEST 2022","16872","","User login cases","","User login cases","Sing in to the previously created profile from main page","Sing in to the previously created profile from main page",""
"skipped","Tue Aug 02 19:19:45 EEST 2022","Tue Aug 02 19:19:45 EEST 2022","0","","api request from wdio","","api request from wdio","check Email","check Email",""
"passed","Thu Aug 04 10:47:42 EEST 2022","Thu Aug 04 10:47:45 EEST 2022","3801","","Go to enterprise registration page","","Go to enterprise registration page","Go to enterprise server registration page from the enterprise cloud registration page","Go to enterprise server registration page from the enterprise cloud registration page",""
"passed","Thu Aug 04 10:47:49 EEST 2022","Thu Aug 04 10:47:57 EEST 2022","8585","","Go to the dropdown items","","Go to the dropdown items","Go to topics page after explore page from plans page","Go to topics page after explore page from plans page",""
"passed","Tue Aug 02 19:19:45 EEST 2022","Tue Aug 02 19:19:59 EEST 2022","13481","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Aug 04 10:48:21 EEST 2022","Thu Aug 04 10:49:11 EEST 2022","49839","","User login cases","","User login cases","Go to registration page by clicking upper button","Go to registration page by clicking upper button",""
"passed","Thu Aug 04 10:47:26 EEST 2022","Thu Aug 04 10:47:49 EEST 2022","22556","","Go to the dropdown items","","Go to the dropdown items","Go to join plane page from main page after choosing a free plan","Go to join plane page from main page after choosing a free plan",""
"passed","Thu Aug 04 10:47:26 EEST 2022","Thu Aug 04 10:47:42 EEST 2022","15443","","Go to enterprise registration page","","Go to enterprise registration page","Go to enterprise cloud registration page from main page","Go to enterprise cloud registration page from main page",""
"passed","Thu Aug 04 10:49:37 EEST 2022","Thu Aug 04 10:49:43 EEST 2022","5750","","User login cases","","User login cases","Send password reset request after filling in the email field without captcha confirmation in the password reset page","Send password reset request after filling in the email field without captcha confirmation in the password reset page",""
