"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 04 13:10:24 UTC 2022","Thu Aug 04 13:10:41 UTC 2022","16797","","Dropdowns should be displayed on mouse hovering","","Dropdowns should be displayed on mouse hovering","Explore dropdown menu should be displayed on mouse hovering","Explore dropdown menu should be displayed on mouse hovering",""
"passed","Fri Aug 12 10:40:10 UTC 2022","Fri Aug 12 10:40:18 UTC 2022","7718","","Go to enterprise registration page","","Go to enterprise registration page","Go to enterprise cloud registration page from main page","Go to enterprise cloud registration page from main page",""
"passed","Fri Aug 12 10:41:12 UTC 2022","Fri Aug 12 10:41:17 UTC 2022","5574","","User login cases","","User login cases","Send password reset request after filling in the email field without captcha confirmation in the password reset page","Send password reset request after filling in the email field without captcha confirmation in the password reset page",""
"skipped","Fri Aug 12 10:40:38 UTC 2022","Fri Aug 12 10:40:38 UTC 2022","0","","Dropdowns should be displayed on mouse hovering","","Dropdowns should be displayed on mouse hovering","Pricing dropdown menu should be displayed on mouse hovering","Pricing dropdown menu should be displayed on mouse hovering",""
"passed","Fri Aug 12 10:40:18 UTC 2022","Fri Aug 12 10:40:21 UTC 2022","2938","","Go to enterprise registration page","","Go to enterprise registration page","Go to enterprise server registration page from the enterprise cloud registration page","Go to enterprise server registration page from the enterprise cloud registration page",""
"passed","Thu Aug 04 13:11:40 UTC 2022","Thu Aug 04 13:11:48 UTC 2022","7926","","User login cases","","User login cases","Send password reset request without captcha confirmation in the password reset page","Send password reset request without captcha confirmation in the password reset page",""
"skipped","Tue Aug 02 16:19:45 UTC 2022","Tue Aug 02 16:19:45 UTC 2022","0","","api request from wdio","","api request from wdio","check Email","check Email",""
"passed","Thu Aug 04 13:10:37 UTC 2022","Thu Aug 04 13:10:56 UTC 2022","18898","","Searching from different pages","","Searching from different pages","Searching from topics page","Searching from topics page",""
"failed","Thu Aug 04 13:11:22 UTC 2022","Thu Aug 04 13:11:40 UTC 2022","18148","","User login cases","","User login cases","Sing in to the previously created profile from main page","Sing in to the previously created profile from main page",""
"passed","Fri Aug 12 10:40:39 UTC 2022","Fri Aug 12 10:40:42 UTC 2022","2200","","Searching from different pages","","Searching from different pages","Searching from topics page","Searching from topics page",""
"passed","Thu Aug 04 13:09:55 UTC 2022","Thu Aug 04 13:10:00 UTC 2022","5156","","Go to the dropdown items","","Go to the dropdown items","Go to topics page after explore page from plans page","Go to topics page after explore page from plans page",""
"skipped","Fri Aug 12 10:40:38 UTC 2022","Fri Aug 12 10:40:38 UTC 2022","0","","Dropdowns should be displayed on mouse hovering","","Dropdowns should be displayed on mouse hovering","Explore dropdown menu should be displayed on mouse hovering","Explore dropdown menu should be displayed on mouse hovering",""
"failed","Fri Aug 12 10:40:51 UTC 2022","Fri Aug 12 10:41:06 UTC 2022","15381","","User login cases","","User login cases","Sing in to the previously created profile from main page","Sing in to the previously created profile from main page",""
"passed","Fri Aug 12 10:40:48 UTC 2022","Fri Aug 12 10:40:51 UTC 2022","3361","","User login cases","","User login cases","Go to registration page by clicking lower button","Go to registration page by clicking lower button",""
"passed","Thu Aug 04 13:09:55 UTC 2022","Thu Aug 04 13:09:58 UTC 2022","2902","","Go to enterprise registration page","","Go to enterprise registration page","Go to enterprise server registration page from the enterprise cloud registration page","Go to enterprise server registration page from the enterprise cloud registration page",""
"passed","Fri Aug 12 10:40:44 UTC 2022","Fri Aug 12 10:40:48 UTC 2022","3974","","User login cases","","User login cases","Go to registration page by clicking upper button","Go to registration page by clicking upper button",""
"passed","Fri Aug 12 10:40:10 UTC 2022","Fri Aug 12 10:40:28 UTC 2022","17501","","Go to the dropdown items","","Go to the dropdown items","Go to join plane page from main page after choosing a free plan","Go to join plane page from main page after choosing a free plan",""
"passed","Thu Aug 04 13:10:41 UTC 2022","Thu Aug 04 13:10:54 UTC 2022","12785","","Dropdowns should be displayed on mouse hovering","","Dropdowns should be displayed on mouse hovering","Pricing dropdown menu should be displayed on mouse hovering","Pricing dropdown menu should be displayed on mouse hovering",""
"broken","Fri Aug 12 10:40:26 UTC 2022","Fri Aug 12 10:40:41 UTC 2022","15169","","Log elements text","","Log elements text","Print elements labels in console in open position part after opening the about careers page from main page","Print elements labels in console in open position part after opening the about careers page from main page",""
